term document_frequency
c-block 2
$15.54 2
foxman 2
americal 2
more-effici 1
botch 1
regardeless 1
overheard 1
robb 1
then-rep 1
sarpaliu 1
fishman 1
perpetr 1
rothstein 1
cellular-cap 1
linu 1
layn 1
impor 1
government-prescrib 1
cinema-qu 1
long-promis 2
election-year 1
n.a 1
139 1
be: 1
older; 1
programs: 1
now-suspend 1
'substanti 1
weight' 1
turetski 1
$34.66 1
answer: 1
q: 1
a: 1
ratings: 1
mutant 1
ninja 1
turtl 1
tv-y7; 1
tv-g; 1
tv-pg; 1
bunni 2
tweeti 1
tv-y; 1
sabrina 1
witch 1
nypd 1
schindler' 1
x-file 1
show' 2
upper-left 1
on-screen 1
v-pg 1
computer-friendli 1
broadcast-friendli 1
interlac 1
lisa 4
fasold 1
manufacut 1
customer-suppli 1
cline 1
petroluem 1
lauda 1
lauda' 1
constrict 1
polar' 2
anchorag 2
khabarovsk 1
stickler 1
behren 1
surveillance/air 1
inter-continent 1
hk80 2
ahk 4
fai 1
neglin 2
thai' 1
rtk' 1
5017,jg 1
2987 1
7212 1
59,910.5 1
71,674.9 1
2,675 1
2,327 2
8.65 1
1,836 1
1,508 1
1,841 2
2,896 2
9.46 1
1,720 1
2,010 1
5.69 1
3,365 1
3,866 1
5,570 2
12,197 2
3,026 1
3,867 1
2,052 1
1,142 1
1,167 1
1,600 2
1,737 1
6.12 2
4,430 1
3,945 1
12.30 1
9,880 1
7,161 1
26.98 1
5,475 1
2,380 1
6.62 2
3,378 1
3,850 2
13.72 1
4.812 1
14,722 1
dyna 1
ld-3 1
overfli 2
westbound 5
varig 2
sutch 2
us$448 1
hk$3.5 1
hq 1
dragag 2
travaux 2
aronnd 1
e_mail 1
websit 4
hk$32.2 1
67.4 1
kowloon 5
fondair 1
fondocean 1
fondexpress 1
witrh 1
59,910 1
71,675 1
20.0 1
4,013 1
4,824 1
2,996 1
2,676 1
8,850 1
9,449 1
1,291 1
15,306 1
10,845 1
9,938 1
7,163 1
27.0 1
3,380 1
6,940 1
16,176 1
747-200f 1
'c' 1
b747 1
747' 2
transportation' 1
trans-load 1
connectinn 1
hk$2.8 1
herdsman 1
siou 1
duroc 1
landrac 1
nnd 1
paulo 1
sobolewski 1
shek 1
taiwan-bas 1
japan-u. 1
448,000 1
414,000 1
335,000 1
77.7 1
38.7 1
ftk 3
407 2
2,315 1
11,416,000 1
fapaa 1
u-freight 1
fong 1
u-freight' 1
us$2 3
guangzhou-bas 1
transcontinent 1
guangzhou-beijing-amsterdam 1
transpacif 3
bangkok' 1
aftk 1
'95 1
chge 1
intl 1
512 1
3,641 1
3,217 1
524 1
3,740 1
3,300 2
4,188 1
3,699 1
457 3
0.0 1
563 1
4,303 1
3,799 1
557 1
2,693 1
2,465 1
386 1
2,739 1
2,507 1
3,104 1
2,831 1
3,155 1
2,878 1
1.341.400 1
1,224,200 1
1,580,000 1
1,439,200 1
unit: 1
1,000,000 1
ton.km 1
unit:1,000 1
487,000 1
609,000 1
thoroughbr 2
l1011 1
medium-haul 1
ld-2 1
bawc 2
bawc' 2
us-chines 1
acmi 2
wet-leas 3
aea 3
company."hui 1
leek 1
tradesmen 1
flexible.and 1
10-storei 1
three-storei 1
102,630 1
haeco 1
'down-town' 1
us$256 1
velupillai 1
a300-600 1
beluga 1
whale 1
jaw-lik 1
volumin 1
turin 1
propellor 1
guppi 1
jal' 1
kazuto 1
yamamoto 1
japan-philippin 1
waybil 1
consignees' 1
reuyter 1
showpiec 2
khaohsiung 1
twice-daili 1
27th 1
tereso 1
isleta 1
eastbound 2
southerli 2
tashkent 2
sunbdai 1
04.30 1
there,"neglin 1
utilisation; 1
declan 1
mage 1
hk$1.4 1
hk$30 2
year.it' 1
3091 1
489 2
semi-direct 1
aviv 1
abraham 1
roter 1
upto 1
evergreen' 3
reuters' 1
2nd 1
regulari 1
volume-to-weight 1
hk-lhr 1
20.85 1
hk-fra 1
21.09 1
hk-jfk 1
20.70 1
hk-lax 1
21.05 1
20.95 1
hk-dxb 1
15.80 1
15.18 1
hk-sin 1
9.10 1
9.06 1
hk-taipei 1
hk-tokyo 1
30.70 1
30.50 1
acit 1
hk$2 2
fritz 2
mid-autumn 2
air' 2
columbus,ohio 2
benair 2
inter-asian 3
tokyo-narita 2
8,742 2
monsoon 3
offload 4
dc-10-30 2
whnn 2
68,673 2
49,063 2
16,775 2
outloook 2
sendai 1
hiroshima 1
dragonair' 1
dc-10 1
kang 1
gemini' 1
'take 1
millennium.' 1
37,000 2
powerpl 1
r-r 1
inflight 1
indefens 1
iso 1
cargocentr 1
uaw-repres 1
facilt 1
$74.1 2
$253.4 1
$221.0 1
80.1 2
$10.6875 1
primark 4
roni 1
sugarland 1
13-inch 1
shop-a-thon 1
mint 1
rosale 1
digregorio 1
dalmatian 1
traci 2
mullin 2
konarski 2
retailer' 1
filene' 1
gerson 1
bloomingdale' 1
galleria 1
280-store 1
elctron 1
twain 4
tsunami 1
mercantile' 3
$49.62 2
1.82 2
18.49 1
steiven 1
stifel 4
nicolau 4
full-boat 1
49-3/4 1
dubinski 1
mercantile/mark 1
ljr 1
towson 1
cleveland 2
anntaylor 2
rogonjich 1
blous 1
pant 3
macy' 1
upper-singl 1
jewelri 6
merrier 2
post-thanksgiv 2
telecheck 2
check-writ 2
expct 2
renshaw' 2
shopp 2
mccormack 2
same 2
jc 2
smaller-than-expect 2
post-thanskgiv 2
craftsman 2
$25-$30 1
roosevelt' 2
merc 2
stieven 3
roberto 3
missouri-bas 3
charge-off 3
call: 1
$0.94 1
erickson 2
erickson' 2
peiser 2
twa 2
peiser' 2
twa' 2
$14.3 2
boyd 2
ascrib 2
meagher 2
messiah 2
vecci 2
greenbaum 2
rifkin 1
$12.04 1
$10.87 1
$49.125 1
$531 1
$10.92 1
$34.85 1
27.9 2
$776 1
allstat 2
$38.22 1
$35.0 1
northbrook 2
$393 2
$76.9 2
$98.9 2
$86.5 2
$64.2 2
$64.9 2
'twa 1
btm/schroder 1
schroder/wertheim 1
procrastin 1
abercrombi 2
vigo 1
gotthard 1
kurpiewski 1
store-for-stor 1
tickl 1
elmo 1
unplan 1
off-pric 1
tjx 1
brawni 1
7270t 1
sportscar 1
swonk 1
walnut 2
nester 1
45-55 1
5.4-litr 1
v8 1
116.4 1
gmc' 1
denali 1
mock-up 2
sport/utilities' 1
5.2-litr 1
5.9-litr 1
rugged 1
truck-bas 1
wendelin 1
wiedek 1
$4.03 1
$3.73 1
$76.625 1
$12.06 1
$11.86 1
month-to-month 1
shalett 3
$16.07 2
fite 2
conservat 3
peoria-bas 1
$381 3
77-3/8 1
$7.07 1
$7.70 1
$8.00 1
vern 2
istock 2
istock' 1
bruett 1
corproat 1
paperwork-intens 1
$106.7 2
13-million-custom 1
mahan 1
first' 1
www.sfnb.com 1
annaul 1
sister-in-law' 1
mcchesnei 1
cardinal' 1
mcchesney' 1
securewar 1
military-grad 2
sensist 1
schmeltzer 1
foolproof 1
alexandria 1
va..-bas 1
ramsei 1
$63,000 1
shapleigh 1
www.atlantabank.com 1
banknow 1
corest 1
$3.95 1
online-bank 1
different 1
acquisition-mind 2
$51.50 1
$93.25 2
$95.625 2
wakeup 2
repsons 1
navy-marin 2
f-18e/f 2
wellsford 1
eqr' 1
multifamili 1
$29.61 1
$800,000 1
90,873 1
langbaum 1
annuali 1
$27.11 1
wellsford' 1
cambden 1
paragon 1
36,199 1
communit 1
zollar 1
ltl 1
less-than-truckload 1
incentive-bas 1
yellow' 1
24,700 1
corina 1
bergschneid 1
$14.50 1
seventh-largest 1
lasal 1
sfb 1
$56.375 1
carlei 1
netherlands' 1
tempest 1
federal' 1
mustafa 1
mohatarem 1
$76.375 1
plausibl 1
unanswer 1
messing 1
4.5-5.0 1
4-4.5 1
4.06 1
$9.32 1
weber 1
$9.33 1
asset-st 1
olberhelman 1
76-3/4 1
tokyo/mitsubishi 1
46-3/8 1
37-3/8 1
39-5/8 1
5-to-5-1/2 1
target' 1
8-cent-a-shar 1
$666,000 1
$88.4 2
$69.1 1
wexner 1
$37.625 1
rawl 1
conder 1
12-5/8 1
maintain/aggress 1
on-field 1
$890,000 1
dimaggio 1
beiris 2
atttract 1
0.4211 1
$50.75 1
$21.37 1
$49.75 1
liquiti 1
lawfirm 1
ommiss 1
liabiltii 1
valet 1
sweepstak 1
liddl 1
debartolo 1
185 6
schalop 1
shoppper 1
woodfield 1
five-minut 1
preschedul 1
taubman 1
paramu 1
rockett 1
lickteig 1
growth' 1
veteran' 1
holwerda 1
muskegon 1
bankshar 2
$216 1
theoutstand 1
waterloo 1
$5.35 1
95th 1
schmies 1
homeland' 2
$24.81 1
$18.2 1
twain' 1
olympic' 1
iowa' 1
schroll' 1
10.79 1
overcapit 1
24-1/2 1
rosholt 1
card' 2
$104.6 1
$377 1
$318 1
54-3/8 1
acqusiiton 1
kerr 1
vhf 1
ladies' 1
publisher' 1
merideth' 1
exectu 1
rehm 1
paris-bound 1
associait 1
$19.2 1
$214.5 1
$198.2 1
wyser-pratte' 1
40-million-shar 1
27-7/8 1
$20,000-$26,000 1
31-month 1
overhead-cam 1
260,000 2
cobo 1
2.7-litr 1
24-valv 1
lxi 1
3.2-litr 1
usabl 1
coil-on-plug 1
tuneup 1
wrist 7
wimbledon 6
denmark' 4
frederik 4
fetterlein 4
cristiano 1
caratti 1
bohdan 3
ulihrach 3
6-2 7
tired-look 1
129th 1
hand...it 2
alright 4
ligament 4
ferreira 8
hanov 4
0.82 1
technically-l 3
trader: 3
496.8 1
$475,000 7
quarterfin 2
henman 7
prinosil 6
7-6 7
aggressor 1
macth 1
forehand 4
199 3
semifin 4
ferreira' 3
58th 5
5-5 4
tiebreak 4
4-0 3
becker' 4
stutgart 1
rpix 4
1,052 2
long-criticis 2
under-resourc 2
marku 2
veverka 1
fairly-valu 1
parliament...discard 1
embryon 4
sepap 2
188.4 2
520.4 2
5.34 2
steti 2
ern 1
roto 2
bahamas-bas 2
dingman 2
assidoman 2
daventre 2
assidoman' 2
olomouc 2
crosscourt 1
krajicek 2
$64,000 1
damm 7
resuscit 1
537.1 2
1,095 2
701,356 2
721.14 2
calib 2
widely-critics 2
stredoceska 2
energetika 2
prazska 2
teplarenska 2
severomoravksa 2
jihomoravska 2
elektrarni 2
opatovic 2
3-0 1
fast-skat 1
swede 1
faceoff 1
vaunt 4
winger 1
mat 2
sundin 1
stars' 1
goali 1
turek 1
creas 4
netminder' 1
slapshot 1
jona 2
bergqvist 1
jagr 1
nedv 4
sharpshoot 1
rucinski 1
listless 4
pelt 1
ludek 1
bukac 1
jagr: 1
reichel 1
re-sign 1
stockholm 1
winless 1
garmisch-partenkirchen 1
100.9 2
62.3 2
150-160 6
ivanisev 4
season-end 2
outgun 1
double-fault 1
quarter-fin 3
7-5 4
joost 2
winnink 2
winnink' 2
backhand 2
old' 1
ivanisevic' 3
voinea 3
fetterlien 1
scoreless 2
madrid' 3
high-scor 3
6-0 5
hapless 3
spaniard' 2
flinch 2
kaiserslautern 2
kuka' 2
unmark 2
midfield 3
goalkeep 3
srnicek 2
perez 3
helplessli 2
andoni 2
zubizarreta 3
suchoparek 2
midfielder' 1
backfield 1
:"raul 1
teams: 2
1-pavel 2
2-radoslav 2
latal 3
3-jan 2
4-pavel 2
15-martin 2
frydek 3
86th 2
5-miroslav 2
kadlec 3
6-michal 2
hornak 3
7-jiri 2
nemec 3
8-karel 2
17-vladimir 2
smicer 3
9-pavel 2
kuka 3
10-patrik 2
11-radek 2
bejbl 3
1-andoni 2
2-abelardo 2
3-sergi 2
barjuan 3
4-rafael 2
alkorta 3
5-miguel 2
nadal 3
6-fernando 2
hierro 3
7-raul 2
8-lui 2
9-guillermo 2
18-ismael 2
urzaiz 3
76th 2
10-julen 2
guerrero 3
14-josep 2
guardiola 3
11-alfonso 2
15-roberto 2
73rd 2
regualt 1
26.86 1
snip 1
106-year 1
pardubic 1
steeplechas 1
four-and-a-quart 1
dunwoodi 1
aintre 1
$92,000 1
veleda 1
polish-train 1
scater 1
0.86 2
38.3 4
26.939 2
0840 2
26.945 2
2.80 2
510.4 1
three-and-a-half-week 1
head' 1
3,700.99 1
2.12 1
10.33 1
163.98 1
1,160.1 1
1,395.46 1
6.36 2
76.89 1
0.01 2
13,789.9 1
119.4 1
5.93 1
7.91 1
2,879 2
marcek 2
272,000 2
stich 4
cupper 1
henman' 3
stich' 2
tournament' 2
fx 2
cold-should 2
bewail 2
falbr 1
anti-elect 2
one-month 1
sofia 3
66.11 2
568.6 2
3,340 2
long-complain 3
krzysztof 2
rogalski 2
staropolski 3
13,597.4 2
892.7 2
large-cap 2
14,282.2-point 2
postabank 2
3,370.23 2
198.79 2
vub 2
kupon 2
223.75 2
bulgarian 3
turned 2
sse 3
13-share 3
rabsi 3
41.31 2
value-weight 2
foodprocessor 2
980.60 2
finmedia 2
dolenjska 2
1,495.58 2
1,483.76 2
0.64 3
586.6 2
14,282.2 2
6.27 2
3,380.53 2
0.51 2
0.00 2
55.48 3
41.05 2
910.74 2
5/1996); 2
8/1996); 2
112.2 3
27/1994); 3
inlin 1
125.5 2
109.6 2
on-year 2
finance:"th 1
clamor 1
monetarist-economist 2
26.919 2
3.09 2
renzo 1
furlan 1
sandon 1
stoll 1
unforc 1
kroslak 1
3-6 1
roughshod 1
tha 1
dsaili 1
galvanis 2
three-fifth 1
seventh-rank 1
brightli 1
0.58 1
574.9 1
192 2
916,194 1
648.3 1
2,439 1
9.17 1
9.13 1
podpiera 1
atlantk 1
senatori 1
15-16 1
after-bours 1
damm' 1
hard-fought 3
victimn 1
ex-wimbledon 1
qatar 1
30-month 1
1,486.55 1
four-sess 1
2.7-percent 1
grzegorz 1
pindur 1
all-shar 5
14,920.4 1
244.5 1
542.4 1
3,639.68 1
31.67 1
agoston 1
203.82 1
200.32 1
briska 1
291.7 1
289.98 1
41.28 1
rif' 1
tirana 1
tirana' 1
lek 1
364-dai 1
91-dai 1
182-dai 1
202.6 1
1,299.70 1
4.18 1
40.61 1
4); 1
feb/1994); 1
28/1994 1
3,634.80 1
7/1996 1
overconfid 1
constituneci 1
26.36 1
29.78 1
kaspar 1
prgaue 1
uhrin 1
19-strong 1
in-form 1
under-21 1
scorer 1
capello 1
absent...it' 1
julio 1
kiko 1
narvaez 1
kiko' 1
atletico 1
caminero 1
playmak 1
barcelona 1
abelardo 1
pizzi 1
robson 1
from): 1
kouba 1
srnicek; 1
kubik 1
repka 1
suchoparek; 1
radoslav 1
novotni 1
dostalek; 1
radovan 1
hromadko 1
canizares; 1
belsu 1
agustin 1
aranzab 1
sergi 1
fernandez; 1
josep 1
julen 1
pastur 2
alojz 1
lacko 1
market: 1
neghbour 1
nickla 1
kulti 1
ecuardor' 1
lapentti 1
republic: 1
spain: 1
rusedski 1
thinnest 1
humer 1
sgst 2
eye-pop 1
implaus 1
agro-chem 3
non-hospit 1
philosphi 1
envirom 2
gentlemanli 2
enviromed' 2
knightsbridg 3
zwanzig 2
selfcar 2
selfcare' 2
counter-charg 1
dean' 2
zwanziger' 2
firesal 2
biozym 2
milumil 2
babymilk 2
milupa 2
nutricia 4
segal 2
anatum 2
gastro-enter 2
hungrier 2
carer 2
incontrovert 2
9.70 2
260.50 2
olvarit 2
picur 1
repsect 1
steroid 1
leukotrein 1
steroid-bas 2
monotherapi 1
godsend 1
alcorn 1
azt 1
didanosin 1
hoffmann-la 1
zalcitabin 1
transient 2
cd4 1
anita 2
kidgel 1
antivir 1
patients' 3
shrewdli 1
crixivan 1
outsel 2
gorna 1
life-chang 1
overstetch 1
$17.29 1
midlands' 9
nottingham-bas 7
634 2
ten-fold 2
circle' 2
116.3 2
$181.5 3
372 1
mckenzi 1
underspend 1
orrell-jon 2
wonderdrug 1
14-month 2
uk/europ 1
choosi 1
$236.5 1
septic 3
myeloid 1
leukaemia 3
cambridge-bas 3
anesthet 1
uk-australian 1
billion-sel 1
biocampat 1
693 1
$1=.6047 2
1631 1
yorkshire-bas 1
colloid 1
cp 1
farrar 1
colloids' 1
two-for-seven 1
yuear 1
cps' 1
allied' 6
salesforc 1
21.1 1
207.6 1
paintmat 1
battery-oper 1
39.99 1
air-fil 1
dulux 1
cylindr 1
tiresom 1
british-design 1
redecor 1
paintmate' 1
temperament 2
product' 1
adverstis 1
boui 2
955 1
1,723 1
hepagen 2
unwound 1
iir' 1
biotech-pharma 1
biotech' 3
nephew' 1
orthopaed 1
182 1
dermagraft 1
babies' 1
foreskin 1
naturally-absorb 1
midland' 1
$1.97 2
low...and 1
warmish 1
fast-growth 1
ink-jet 1
some...might 1
compeit 1
keenly-await 4
oxford-bas 5
colo-rect 5
pancreat 5
28-dai 3
marimastat' 5
antigen 3
succcess 1
that...37 2
bitoech 1
lived...significantli 1
rhie 1
cleverli 1
aftercar 1
darling,' 1
all-inclus 1
boxster 1
longer-establish 1
halford 1
extol 2
million-$500 2
640.5 2
647p 3
spoilt 2
iren 2
himona 2
propsect 2
$1=.6051 2
peel 1
bum 2
$312.7 1
oxfordshire-bas 2
low-tech 2
pathfind 2
projector 2
chernobyl 2
253.3 2
$1=.6396 1
handrol 1
$272.7 1
netherlands-bas 1
rizla 1
rizla' 1
1796 1
breda 1
444.9 2
940 1
climbd 1
865 1
purif 1
408.3 2
rosenkranz 2
gas-mak 2
ohmeda 2
boc' 2
anaesthet 2
foran 2
53.1 2
super-clean 2
fall-off 2
newfound 1
budgen 1
forecourt 2
spreckelsen 1
183.0 1
laggardli 1
vaccum 1
vaccuum 1
708 1
skyepharma 1
gowrie-smith 1
edgington 1
krypton 1
jago 1
controlled-releas 1
non-cfc 1
signpost 1
jago' 1
geomatrix 1
skyepharma' 1
brightston 1
u.s.' 1
rapidly-expand 1
24.3 1
domestically-ori 2
$1.62 1
1689-1/2 1
mrk.l 1
prinivil 1
cozaar 1
arimidex 1
karat 1
once-daili 1
morphin 1
hrt 1
cambridgeshir 1
analgesia 1
off-pat 1
pain-kil 1
oncologist 2
esmo 2
big-sel 2
surrog 2
esco 2
lexipaf 2
small-cel 2
70.5 1
$9.97 1
england-bas 1
$39.75 2
exchag 1
$12.37 1
$10.97 1
$10.14 1
$10.40 3
birt 5
classic-cut 1
38.9 2
womens' 1
gentlemen' 1
outfitt 1
quintessenti 1
dartford 1
dormitori 1
wilmslow 1
$1=.6401 1
9,830 1
95.1 1
turnbull' 1
152 2
$242 1
fid 1
35.65 1
735 3
colman' 1
clarke' 3
wilson' 1
fizzi 1
phosphorous-deriv 1
1851 1
flame-retard 1
retrospect 2
company,"said 1
year-on-year-on-year 1
are...partli 1
501 1
70-plu 1
celltech' 1
slough-bas 1
1997/1998 1
cash-cal 1
centocor/ 1
psoriasi 1
interest..but 1
373.5 2
1105 1
$474.9 1
$48-57 1
cazenov 3
bic 1
sector-specif 1
teather 1
bic' 1
cantab 1
celsi 1
arang 1
289-1/2 1
tetanu 1
capsul 1
$4.90 1
money-spinn 1
three-figur 1
engerix-b 1
purifi 1
btp 1
manchester-bas 1
chenmic 1
manufatur 2
areas 1
love-h 1
olympian 1
pro-u. 1
jisi 1
sequel 1
honeymoon 1
hanks' 1
gump 1
sides...wil 1
futile...i 1
12-dai 2
inspection...(which 1
xiaoxi 1
qincheng 1
tennis...eat 1
vice-mayor' 1
comback 1
shougang 4
9.28 2
$144,600 2
highly-publicis 3
guanwu 4
shipe 1
deject 1
defrock 1
reactionari 1
1,787 2
46,000 4
cleans 2
article' 1
punishment...bi 1
zhun 1
gag 1
enq 1
lianzhong 1
shunyao 1
commander-in-chief 2
professionalis 1
redirect 3
low-interest 1
non-perman 1
bid)...wil 1
hirohito 1
times...shelt 1
lawless 1
tian' 1
omnipot 1
conscienti 2
movement...ha 2
point...to 1
in-camera 2
badint 3
attorneys-gener 1
katzenback 3
thornburgh 3
solicitor-gener 3
allmand 3
admitt 3
'outsiders' 1
'too 1
small' 1
overdepend 2
boyong 2
xitong...and 1
qiyan' 2
mingyi 1
zihua 1
downstair 1
eighth-floor 1
graver 1
parole...wa 1
tangshan 1
cabinet-level 1
spokesman' 1
teng-hui' 1
$15.22 2
$3.91 1
government-paid 2
$11.31 2
$119.22 2
$107.21 2
january-to-octob 1
$12.01 1
aquat 1
$105.0 1
vice-foreign 1
zengpei 1
deguang 1
jiaxuan 1
misunderstanding...a 1
minister-counsellor 1
leshchenko 1
plyushko 1
lien' 2
guests...invit 1
evidence...(of 1
udovenko 1
court...giv 2
armament 1
vouch 1
fault' 1
seizur 1
polytechnolog 1
norinco 1
poli 2
surface-to-air 1
1934-36 1
9,650 1
march...i 1
reckless 1
militarist 1
and...it 1
irresponsibil 1
yasukuni 1
dishonest 1
war-victimis 1
56-year-old 1
xi'an 1
shaanxi 1
jiankang 1
zhang' 1
wego 1
chinese-sanct 1
gyantsen 1
norpo 1
robe 1
1694 1
sobriquet 3
beifang' 2
guanwu' 1
kao' 1
economy...i 1
kindergarten 2
anti-independ 1
double-fac 1
monday: 1
decriminalis 1
qizhong 1
mou' 1
$24.1 1
creditors...hav 1
intersputnik 1
ngawang 3
sangdrol 1
ngawang...i 1
drapchi 1
khandrol 1
jangp 1
acquit 1
trumped-up 1
wantonli 1
54-paragraph 1
allowed...i 2
dan...wa 1
course...it 2
extenu 3
guangmei 1
960-1279 1
566,000 1
$68,000 1
priceless 1
shaoqi 1
sungari 1
$61,000 1
posthum 1
ach 1
abject 1
handicraft 1
veneer 1
nepot 1
shougang' 1
qun 1
58,000 1
176,000 1
1.653 1
viljoen 1
tuntex 1
businesssmen 1
1,692 1
1,625 1
428 2
huangshi 1
large-s 1
$361.4 2
wuhu 1
14-square-metr 1
square-ft 1
crackown 1
pawn 1
taiwan...act 1
ceaselessli 1
'tibet 1
shortsight 1
attained...regain 1
side...to 1
1,299 1
jeep-lik 1
humve 1
ordain 1
seminari 1
priesthood 1
huaid 1
1703 1
state-anoint 1
primaci 1
open...but 1
wrong...h 1
calm...and 1
four-volum 1
30-odd 2
reactionary...and 1
vulgar...i 1
colloqui 2
underbelli 1
books...no 1
regrettable...i 1
temporary...not 1
military-own 1
$398,000 1
likes...i 1
clear-head 1
'westernise' 1
'divide' 1
law-break 1
potala 2
challenged...that 1
attest 1
powerful...ther 1
zemin...i 1
mode...in 1
spanish-languag 1
delacei 1
seee 1
distrinct 1
cross-distribut 1
carso 1
p55c 2
teleconferenc 1
media-rich 1
schrock 2
presario 4
$538 2
$129.375 1
semicondutor 1
manfactur 1
milton 4
eckhard 3
pfeiffer 3
corporate-wid 1
$851 1
$12.7 1
$10.1 1
pentiumpro 1
amdahl 2
just-announc 2
co-develop 2
petroconnect 4
industry-specif 5
maintent 1
forrester' 1
shop...th 1
net.commerc 1
widely-expect 2
$349.9 1
$197.9 1
now....w 1
$24.75 1
$17.95 2
sprynet 1
$11-5/8 1
$14.2 1
$30.2 1
$32.2 1
units: 1
unruh 1
once-beleagu 3
stratus' 1
$24.25 1
june-quart 1
vesion 1
so-so 1
$0.89 1
echostar' 3
pre-pai 3
$44.95 2
uniden 2
panason 2
charli 4
beran 1
in-box 1
coolei 2
pcorder.com 2
as-yet 2
unfil 2
cooley' 2
schraith 2
cerplex 2
ross' 2
snyder 2
pcorder 2
pcorder' 2
distrubut 2
build-to-ord 2
internet?' 1
'ye 1
is,' 1
corp. 1
run-anywher 1
de-hyp 1
http://www.ibm.com 1
reogan 1
place...and 1
20/20 1
lennert 1
an 2
subscib 1
all-encompass 1
wladwasky-berg 2
'old-fashioned' 2
wladawsky-berg 3
gottschalk' 2
network-bas 2
e.schwab 2
sp2 2
pc-meter 1
twenty-f 2
pc-meter' 1
cybershopp 1
37.2 1
sites; 1
cybershop 1
shareware.com 1
c/net 2
disks; 1
zdnet' 1
sharewar 2
zd 1
cyber-book 1
41.99 1
9,928 1
computer-own 1
non-pc-own 1
npd 1
mug 2
153-3/4 1
90-7/8 1
graph 2
taget 1
stanca 1
direct-market 1
power-pc-bas 1
etherington 1
$152.875 1
138-3/8 1
$19.95-a-month 1
programming; 1
exectut 1
$25.675 1
vicissitud 1
advance-pay 1
$14.95 1
bring-your-own-access 1
light-usag 1
charcoal-grei 1
low-mainten 1
'60 3
'70 1
'80 1
corset 1
infatu 1
17-inch 1
zimmermann 1
cognoscenti 1
zimmermann' 1
pgp 1
damocl 1
seybold 1
interop 1
dunkelberg 1
stede 1
pgp' 1
viacrypt 1
viacrypt' 1
eudora 1
3,072 1
privnet 1
duplication....w 1
$6.01 1
much-malign 1
warp 1
perrella 2
lenzmeier 2
buy' 2
typcial 1
donatiello 2
roach 2
tandy' 2
postcard 1
flat-fe 1
sticker 3
thinkin' 2
pinnochio 1
$3.8125 1
$134.75 1
fireston 2
aptiva 2
ballyhoo 1
evangel 1
diskless 1
underwhelm 1
pro-network 1
managers: 1
roadmap 2
rhineland 1
low-cost.' 1
navio 1
nc-like 1
hester 1
non-pc 1
data' 1
$18.06 1
$16.75 1
$135.375 1
host-bas 1
tentacl 1
properties...thi 1
newly-releas 1
pinocchio 1
group-ori 1
impart 2
downtrodden 1
maynard 1
alta 1
dec' 1
fix-it 1
38-5/8 1
matter...al 1
'let' 1
decree,' 1
barskdal 1
doj' 1
barksdale' 1
love-in 1
carl' 1
pascarella 1
collid 1
thomson-c 1
television-onlin 1
melissa 2
yahoo!-brand 1
levi' 1
meckler 1
bevvi 1
freeload 2
sunil 2
much-talked-about 1
platform,' 1
deployment,' 1
$152.75 1
www.tvguide.com 1
iguid 1
tv-orient 1
well-kept 3
krasilovksi 1
500th 1
trivia 1
keren 1
$4,500 1
memory-intens 1
hastily-arrang 1
animi 1
genuiti 1
hopscotch 1
states: 1
calif.; 1
washington; 1
chicago; 1
angeles; 1
rodnei 2
joff 1
not-for-profit 1
genuity' 1
globe-span 1
oil-explor 1
e-commerc 1
storefronts.it 1
sebastopol 1
dangerous...that 1
bankcard 1
cardhold 1
set...i 1
onsale.com 1
entre 1
hard-cor 3
'legacy' 1
$138.875 1
components: 1
markup 1
html 1
web; 1
messeng 1
application; 1
collabra 1
inbox 1
$57,900 1
$73,590 1
$279,590 1
not-so-friendli 1
nixdorf 1
3.82 3
forte' 1
1/2p 10
885p 1
350-400 1
19p 1
495-1/2p 1
larrinaga 7
bridgeman 3
bosman 1
injury-hit 1
amstrad 1
venabl 1
$1=.6395 3
bonfield' 2
hitchin 2
loughborough 2
beard 3
hobbi 2
stitch 3
camelot 1
lott.cn 1
scratchcard 1
hollei 1
2.51 1
camelot' 1
gtech 1
payount 1
governn 1
bemus 1
miracul 1
89.50 4
$139.10 1
licence-fe 1
blenheim' 4
vnu 4
$757 1
35.6 1
202.5 1
480p 1
$1=.6337 4
roker 1
42,000-capac 1
collieri 1
dilapid 1
terrac 2
middlesbrough 1
0.596 1
two-lic 1
4' 1
unpersuad 1
thumbs-down 1
668 2
economist' 2
doulton 1
trhe 1
$1=.6299 2
714 4
pearson-own 1
72.8 3
$113 1
215p 2
213p 1
hhc' 2
$1=.6421 1
newly-demerg 1
112.5 2
$188.4 2
9-1/2p 1
1,280-1/2p 1
1290p 1
southgat 2
emi' 2
lorna 1
tilbian 1
1360p 1
6-8 4
131.9 2
124.6 2
hmv 2
antholog 2
viewers...a 2
bandwith 2
binari 5
pertin 1
61.6 2
10.5p 1
wetherbi 1
superbly..i 1
$1=.6350 4
grigson 1
happier 2
783p 2
732 1
$83.4 1
3.7p 1
4.3p 1
tele 1
$1=.6067 1
u.s.-control 2
above-infl 3
$139.1 1
tranmiss 1
flextech-bbc 1
1,286p 1
$804 2
$167.5 1
athene 2
884 2
$14.81 1
$363.5 1
$281.4 1
$273.0 1
740 2
585p 2
732-1/2p 1
0954 1
134,500 1
utd 1
european-wid 2
42,000-seater 1
manna 1
cantona 1
ruud 1
gullit 1
fabrizio 1
ravanelli 1
alon 1
sun-seek 1
69p 1
